ID,description
MH001,453-D4-ctrl
MH002,454-D4-ctrl
MH003,453-D4
MH004,454-D4
MH005,453-D10
MH006,454-D10
MH007,453-D10-obn
MH008,453-D20
MH009,454-D20
MH010,453-D27
MH011,454-D27
MH012,454-D27-6TG (D18)
MH013,453-D34
MH014,454-D34
MH015,453-D34-obn
MH016,454-D34-6TG (D18)
MH017,453-D43-obn
MH018,463-D4-ctrl
MH019,463-D6
MH020,464-D5-ctrl
MH021,464-D7
MH022,465-D5-ctrl
MH023,465-D7
MH024,P81-A(FE)
MH025,P82-A(FE)
MH026,P82-ID3(FE)
MH027,P84-ID7(FE)
MH028,P81-ID4(all)
MH029,SMARCB1-ctrl_x8
MH030,453-D4_x8
MH031,454-D4_x8
MH032,453-D10_x8
MH033,454-D10_x8
MH034,453-D10-obn_x8
MH035,453-D20_x8
MH036,454-D20_x8
MH037,453-D27_x8
MH038,454-D27_x8
MH039,454-D27-6TG (D18)_x8
MH040,453-D34_x8
MH041,454-D34_x8
MH042,453-D34-obn_x8
MH043,454-D34-6TG (D18)_x8
MH044,453-D43-obn_x8
MH045,SMARCB1-ctrl_x9
MH046,453-D4_x9
MH047,454-D4_x9
MH048,453-D10_x9
MH049,454-D10_x9
MH050,453-D10-obn_x9
MH051,453-D20_x9
MH052,454-D20_x9
MH053,453-D27_x9
MH054,454-D27_x9
MH055,454-D27-6TG (D18)_x9
MH056,453-D34_x9
MH057,454-D34_x9
MH058,453-D34-obn_x9
MH059,454-D34-6TG (D18)_x9
MH060,453-D43-obn_x9
CK001,S1-D4
CK002,S2-D4
CK003,S1-D20
CK004,S2-D20
CK005,S1-O-D20
CK006,S2-O-D20
CK007,S1-D34
CK008,S2-D34
CK009,S1-O-D34
CK010,S2-O-D34
CK011,Neg-LV455
CK012,Neg-LV456
CK013,S3-D4
CK014,S4-D4
CK015,S3-D20
CK016,S4-D20
CK017,S3-O-D20
CK018,S4-O-D20
CK019,S3-D34
CK020,S4-D34
CK021,S3-O-D34
CK022,S4-O-D34
CK023,ID8 / LV455
CK024,ID9 / LV456
